season,round_number,voter,submitter,points,title,artist,submitted_obscurity,submitted_energy_pct,submitted_top_tag,spotify_uri
1,3,"Philip Chapin","Michael Layous",1,"Место наших встреч","Англия",80,84,,spotify:track:1m3cn9F4ROKoOr2uMGqmEh
1,3,"Philip Chapin",SusieQ,2,"El Matador","Los Fabulosos Cadillacs",62,41,,spotify:track:3EsjrObXPhXA79Cr4QixY8
1,3,"Philip Chapin",Tj,1,"99 Luftballons",Nena,22,21,80s,spotify:track:2IJftBfq7pJ43tfnOR0RB3
1,3,"Philip Chapin","Voltron’s YoungLion",-1,"Du hast",Rammstein,11,53,"industrial metal",spotify:track:6uEvFCaOqXyEidoO8BZbyh
1,3,"Philip Chapin",jac,1,"Malagueña","Lucas Imbiriba",93,40,,spotify:track:56K2S3d7eZZStjaSKSTgXm
1,3,"Philip Chapin",missmara,1,"Hit Sale","Therapie TAXI, Roméo Elvis",92,55,,spotify:track:3yndKI4zWEyC36BQYrdKBA
1,3,"Sarah S","Jonathan Black",1,"Весна",Dolphin,71,43,,spotify:track:5vfg8mxKVeKIHMEvhcAEDN
1,3,"Sarah S",Mashew,-1,Abissama,"Incredible Polo",81,50,,spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl
1,3,"Sarah S","Michael Layous",1,"Место наших встреч","Англия",80,84,,spotify:track:1m3cn9F4ROKoOr2uMGqmEh
1,3,"Sarah S","Philip Chapin",1,Gitana,"Derby Motoreta’s Burrito Kachimba",85,75,,spotify:track:3zG1Xt4ikeUWb8lDRogLx9
1,3,"Sarah S",SusieQ,2,"El Matador","Los Fabulosos Cadillacs",62,41,,spotify:track:3EsjrObXPhXA79Cr4QixY8
1,3,"Sarah S",Tj,1,"99 Luftballons",Nena,22,21,80s,spotify:track:2IJftBfq7pJ43tfnOR0RB3
1,3,"Sarah S","Voltron’s YoungLion",1,"Du hast",Rammstein,11,53,"industrial metal",spotify:track:6uEvFCaOqXyEidoO8BZbyh
1,3,"Sarah S",jac,0,"Malagueña","Lucas Imbiriba",93,40,,spotify:track:56K2S3d7eZZStjaSKSTgXm
1,3,"Sarah S",missmara,1,"Hit Sale","Therapie TAXI, Roméo Elvis",92,55,,spotify:track:3yndKI4zWEyC36BQYrdKBA
1,3,SusieQ,"Jonathan Black",1,"Весна",Dolphin,71,43,,spotify:track:5vfg8mxKVeKIHMEvhcAEDN
1,3,SusieQ,Mashew,2,Abissama,"Incredible Polo",81,50,,spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl
1,3,SusieQ,"Michael Layous",1,"Место наших встреч","Англия",80,84,,spotify:track:1m3cn9F4ROKoOr2uMGqmEh
1,3,SusieQ,"Philip Chapin",1,Gitana,"Derby Motoreta’s Burrito Kachimba",85,75,,spotify:track:3zG1Xt4ikeUWb8lDRogLx9
1,3,SusieQ,"Sarah S",1,Starman,"Seu Jorge",60,65,,spotify:track:1bcoI2VWqABMDhwoZHf5dp
